sequence,hash,date,type,release,capabilities,subject_capabilities,references,files,insertions,deletions,subject
20,13f7980bf313bf260e9391c31f5da773aca55e64,2026-02-08T19:58:39-05:00,other,no,terminal;tasks;queen;drones;workers;ui_ux;testing_quality,terminal,,12,151,159,"Standardize internal APIs: public tmux runner, hive helpers, shared utilities"
21,ba2731f2fca35445340d7b9fc6f6fb3b058f7d0c,2026-02-08T21:23:14-05:00,fix,no,terminal;tasks;drones;workers;ui_ux,terminal;drones,,7,75,26,"Fix TUI content wipes: async guards, poll dedup, incremental rendering"
22,7f670e453a8f5d6e6f6a0247daeabe6d4eabd76c,2026-02-08T21:29:15-05:00,fix,no,settings;testing_quality,settings;testing_quality,,1,6,3,Fix CI: isolate test_validate_no_config from host environment
23,a56b3b7ddf469fa0c45c34ab854da934ead3aae8,2026-02-09T09:50:26-05:00,fix,no,terminal;tasks;drones;ui_ux,terminal;tasks;drones,,2,38,4,Fix TUI invisible content: tasks ListView and drone log not rendering
24,7c7cae9a07fd293d1f6eed2cfd85c5f726d45bfb,2026-02-09T10:21:30-05:00,fix,no,ui_ux,,,1,4,10,Fix TUI invisible content: bound parent heights for ScrollView panels
25,906969a387d444699ea648dbcef954fd7d683048,2026-02-09T10:46:57-05:00,fix,no,tasks;deploy_release;ui_ux,tasks;ui_ux,,2,13,13,Fix TUI content vanishing: eliminate layout invalidation storm in task panel
26,eba36f5678744f04802c7fa3fbc8644cf01c108e,2026-02-09T10:53:29-05:00,fix,no,tasks;workers;ui_ux,ui_ux,,4,28,19,Fix TUI layout storm: layout=False + change guards on all fixed-height widgets
27,574a8ce3afdbf06c6054d02257e1958e2623e1c8,2026-02-09T18:08:38-05:00,fix,no,terminal;drones;worker_state;workers;settings;ui_ux;testing_quality,terminal;drones;ui_ux,,22,905,371,"Fix drone state detection, choice prompt handling, and tmux UX"
28,f65b37634fb85a1ce6feab07aa6bf2e7f6ebf8fe,2026-02-09T21:40:31-05:00,feature,no,terminal;tasks;queen;drones;workers;settings;providers;ui_ux;testing_quality,tasks,,23,1272,167,"Add task editing, attachments, shutdown dialog, and WUI improvements"
29,ab99a4084659f0d5fbfb03173dfc69df67489d19,2026-02-10T07:11:34-05:00,feature,no,terminal;tasks;workers;mobile_pwa;ui_ux,mobile_pwa,,7,829,31,"Add WUI polish: responsive design, notifications, groups, filters, PWA"
30,553ab34985c9a6ec66782ab98c97d98ff326466a,2026-02-10T07:39:24-05:00,feature,no,tasks;workers;mobile_pwa;ui_ux,tasks;workers;mobile_pwa,,1,81,0,"Add browser notifications for escalations, STUNG workers, and task failures"
31,ddea2faca8ecc6d45e3e2f1a1e864ba45e17f6a6,2026-02-10T07:43:11-05:00,fix,no,workers;ui_ux,workers;ui_ux,,1,5,2,Fix duplicate workers across groups in WUI sidebar
32,3ac8c671f1a7f6954a43c7eafe61f09ac8a5f90f,2026-02-10T09:15:13-05:00,other,no,workers;settings;ui_ux,workers;ui_ux,,1,40,12,"Skip universal groups in WUI sidebar (e.g. ""all"" containing every worker)"
33,638baccd414f99f73bb1562770cbb5cb0803bf1f,2026-02-10T09:17:49-05:00,other,no,settings;ui_ux,ui_ux,,1,8,21,"Skip auto-generated ""all"" group when real groups exist in sidebar"
34,466a6d55e7acc4eb14b735c8fe6e0ad07f94c3bf,2026-02-10T10:03:59-05:00,other,no,terminal;workers;ui_ux,terminal,,2,5,114,Remove send form — inline terminal replaces Send/Continue/Escape/Ctrl-C
35,8be144990cce8bc8e637d6c79f42b4a4cca69f27,2026-02-10T10:09:10-05:00,feature,no,terminal;resources;ui_ux,terminal;resources;ui_ux,,2,105,0,Add drag-and-drop file upload to inline and modal terminals
36,29d14b648b822252e0f7a8332e718f935dd32ab2,2026-02-10T10:12:16-05:00,other,no,security_auth;providers;ui_ux,providers,,1,8,3,Use bracketed paste for drag-and-drop so Claude Code recognizes image attachments
37,d0c05427449e481bd7fe54849a8ae50071ddc011,2026-02-10T10:21:58-05:00,feature,no,ui_ux,ui_ux,,4,53,17,"Add cute bee logo, rename to ""Swarm's Bee Hive"", serve SVG favicon"
38,e936fe5d50bb8a3dfd594302f151a38347e39a05,2026-02-10T10:26:43-05:00,fix,no,terminal,terminal,,1,25,0,Fix tmux not resizing when browser window resizes in WUI terminal
39,585b3187d49cd9b326ae0a166128ae0e50f64bec,2026-02-10T10:29:11-05:00,feature,no,security_auth,security_auth,,2,9,4,"Enable remote access: bind 0.0.0.0 by default, fix CSRF for non-localhost"
40,91c3e75c91449b298abc9448007c6dd61d19ad8d,2026-02-10T10:38:25-05:00,fix,no,terminal,terminal,,1,8,25,Fix tmux resize: send SIGWINCH directly instead of refresh-client -C
41,704a0afa33aef6e282ecc08f47510a0a984ab547,2026-02-10T11:02:57-05:00,fix,no,terminal;ui_ux,terminal,,1,35,16,Fix paste and image drop in WUI terminal
42,0392e4db5d89d5552a2f3733ecfd99a7b24903c1,2026-02-10T11:09:17-05:00,fix,no,terminal;ui_ux,,,1,42,18,"Fix Ctrl+V paste: block raw 0x16, use browser paste event instead"
43,576eca80a336d8611eef77c8be65b9fa0dffcdcd,2026-02-10T11:16:34-05:00,feature,no,resources;ui_ux,resources,,1,36,12,Support image paste (Ctrl+V) — upload clipboard image and paste path
44,06a593d7edbc985d66d3b53367cfaa39137d6ce8,2026-02-10T11:23:12-05:00,fix,no,terminal;ui_ux,terminal,UTF-8,1,18,2,Fix mouse click-to-select-pane in WUI terminal via onBinary handler
45,abee2b363d2711a7e367e2506a6957061faf4f0b,2026-02-10T11:27:30-05:00,other,no,terminal;ui_ux,terminal,,1,14,0,Improve mouse click reliability in WUI terminal with pre-focus
46,7b4b6f6f726ffcc9e17fc76e57772828744cbfdf,2026-02-10T11:35:13-05:00,revert,no,terminal;ui_ux,terminal,,1,0,30,Revert onBinary and mousedown pre-focus handlers causing terminal regressions
47,afecdd992a7352a4eaac5484f80535db22aed50c,2026-02-10T11:40:38-05:00,revert,no,terminal;ui_ux,terminal,,2,19,99,Revert all terminal handler changes — restore to pre-regression state
48,d5f528f4ff0d390595c75efe995d283b4bf20799,2026-02-10T11:44:27-05:00,fix,no,terminal;ui_ux,terminal,,1,23,8,Fix stale WS close race + add terminal debug logging
49,276a89c112b786b0b86801482e765db477301505,2026-02-10T12:04:22-05:00,fix,no,terminal;ui_ux,ui_ux,,1,10,0,Fix Attach modal click-to-select-pane with mousedown pre-focus
50,ca7270b1d9b2329881b8390d0b83a2a7fba9091e,2026-02-10T12:07:43-05:00,feature,no,terminal;ui_ux,ui_ux,,1,12,1,Add onBinary handler to Attach modal for mouse click forwarding
51,67b2b9eccdcc3cf7f4c9853f150d57b941fa98c9,2026-02-10T12:10:50-05:00,other,no,terminal;ui_ux,terminal,,1,14,0,Set mouse on for grouped tmux session in web terminal
52,7c4bc7bd42f09a5b1a89b4fa40bbd198bed97b11,2026-02-10T12:16:02-05:00,fix,no,terminal;ui_ux,,,1,0,5,Stop unbinding MouseDown1Pane — it breaks single-click pane selection
53,7650262b6e33fc73a80ccf633bd861450a03df1f,2026-02-10T12:20:00-05:00,feature,no,terminal;ui_ux,terminal;ui_ux,,1,6,0,Add mouse escape sequence logging to modal terminal onData
54,1ff60d06825da3c3812e97ab546e37f201cc3fcf,2026-02-10T12:22:38-05:00,fix,no,terminal,terminal,,1,8,0,Restore SIGWINCH on terminal resize — fixes mouse click coordinates
55,92929df893a6147eab04d8440f3afc1904c8bd6f,2026-02-10T12:26:04-05:00,other,no,terminal;ui_ux,,,1,11,0,Explicitly bind MouseDown1Pane for click-to-select-pane
56,ac0261438a6d9684c1b3777cd90013ceaed485d6,2026-02-10T12:29:23-05:00,other,no,terminal;ui_ux,terminal,,1,1,11,Clean up verbose diagnostic logging from terminal handlers
57,85372f4f554c7421977b4b3e4e3386ed29cb3414,2026-02-10T12:32:26-05:00,other,no,terminal;ui_ux,terminal;ui_ux,,1,1,1,Make Attach terminal modal fullscreen
58,8d42a1d748e76748cc35b282860d496f22ec8503,2026-02-10T22:25:58-05:00,feature,no,terminal;tasks;queen;drones;worker_state;workers;security_auth;settings;ui_ux;testing_quality,tasks;queen;workers,,43,6582,414,"Add task lifecycle automation, skill-based workflows, and Queen directives"
59,f95875c88de3f2974a5e8810e81f2928ba07340d,2026-02-11T07:41:59-05:00,other,no,tasks;providers,tasks,,1,10,0,Send extra Enter after task assignment to confirm paste prompt
60,46611ec756888387e9115b769a8d6c76729d6503,2026-02-11T07:53:43-05:00,feature,no,tasks;workers;settings;testing_quality,tasks;workers;settings,,6,166,10,Add configurable workflow skills and pre-task worker prep
61,182428c61fffcae0fd103ca5e16df562441ab835,2026-02-11T08:29:14-05:00,feature,no,tasks;queen;drones;settings;ui_ux;testing_quality,tasks;settings,,12,121,12,Add task resolution field and workflows config editor
62,c7927e54705a1f5c2887d95074218b6a7749eefd,2026-02-11T10:11:44-05:00,fix,no,terminal;tasks;queen;drones;worker_state;workers;email;security_auth;settings;ui_ux;testing_quality,drones;email;ui_ux,,25,641,92,"Fix state detection when drones OFF, email improvements, logs tab, UI polish"
63,f79b7b5ca1a622e1d3d9a99a5faa8090173e223d,2026-02-11T16:35:10-05:00,other,no,terminal;tasks;queen;drones;worker_state;workers;email;security_auth;recovery;settings;ui_ux;testing_quality,tasks;queen;drones;email,,18,817,154,"Drone resilience, Queen cooldown separation, task prep safety, email ID capture"
64,bd82584484c7510f7d62f61af45cd681fe6641f6,2026-02-11T16:54:49-05:00,other,no,email;security_auth,email,,2,19,16,"Draft email replies instead of sending them, fix scope to Mail.ReadWrite"
65,c81c6e27fc6222e204659ab2e1b2c0f4cc6b204b,2026-02-11T16:57:25-05:00,other,no,queen;drones;messaging;testing_quality,queen;messaging,,3,22,12,Route Queen coordination send_message through proposal system
66,312bd237353a70a948e1b1290492352a1799c735,2026-02-11T17:11:41-05:00,other,no,,,,1,0,343,Delete Bee_Hive_2026-02-06T18_50_09_010873.svg
67,c478e51fdd82ae59633de8101779349c63c6d5ba,2026-02-11T17:28:16-05:00,other,no,,,,1,255,62,Rewrite README to reflect current app state
68,b27a0a2017ff013716af179a3b14b06618209062,2026-02-11T17:34:39-05:00,other,no,ui_ux,ui_ux,,1,65,70,"Reposition web dashboard as primary UI, add WAITING state"
69,42800137937093e665ee876bdd5d5b6235ff58bf,2026-02-11T18:16:33-05:00,other,no,terminal;tasks;email;messaging;recovery;ui_ux,terminal;email;recovery,,6,109,3,"Surface draft email errors, add retry draft, fix tmux copy-mode hang"
70,44aa23e8ec98d8b920c6659f195aa2ea4b83842f,2026-02-11T18:58:36-05:00,feature,no,tasks;ui_ux;testing_quality,tasks,#1;#2,10,55,3,"Add task numbers, unassign task on failed send after /clear"
71,5799a68672a2bf2e8bf70de59d4f9d753062d54e,2026-02-11T19:06:14-05:00,fix,no,queen,queen,,1,34,2,Prevent false completion proposals from Queen assessment
72,139fd03ae5f7a693d0ab6d70855add2b5e1bfd1d,2026-02-11T19:09:11-05:00,feature,no,tasks;queen;ui_ux,tasks;queen,,8,86,0,Add task reopen + prevent false Queen completions
73,24d87d608acadb06ac8b3bf4239d895e6e15662a,2026-02-11T19:17:46-05:00,other,no,queen;worker_state;workers;recovery,queen;worker_state;recovery,,1,14,11,"Reject garbage idle-fallback resolutions, remove Queen-unavailable fallback"
74,d089e45d65c4811d10d19a80205b0fe0b9d9e354,2026-02-11T19:23:58-05:00,other,no,terminal;queen;ui_ux,terminal;ui_ux,,2,25,8,"Drop empty escalation proposals, improve escalation modal content"
75,c72a0624d8659c477580ca087c26a74b9fef1290,2026-02-11T19:26:53-05:00,fix,no,tasks;ui_ux,tasks,,2,6,4,"Fix confirm dialog callback never firing, allow removing completed tasks"
76,c2d514b04c6b8a8d80e771886819e347094d6322,2026-02-11T19:30:33-05:00,feature,no,tasks;ui_ux,ui_ux,,2,62,20,"Add View button to proposal rows, open detail modal for all proposal types"
77,5a60d4bab1fdcf6fe89f2f9851f6a616c8a413bf,2026-02-11T19:32:42-05:00,other,no,worker_state;workers,worker_state;workers,,1,31,4,Guard against false completion proposals when worker is BUZZING
78,d54d782341a94aca25fda599f88138c010c75d67,2026-02-11T19:41:51-05:00,fix,no,tasks;workers;ui_ux,tasks;workers,,2,13,1,"Fix selected worker task text invisible, show task in detail title"
79,4cad34c327c7ee05d2e788bb03ae6b88a62f5705,2026-02-11T19:49:42-05:00,feature,no,drones,drones,,2,34,9,Add built-in safety patterns for drone rules + improve completion prompt
80,4275c5381f29e53c0523896feaf36b3d887d8cf6,2026-02-11T19:54:06-05:00,fix,no,queen;drones;testing_quality,,,3,56,3,Fix duplicate proposals with multi-layer dedup guards
81,58105b14fb699d78659e4d95f3c3ab2715223688,2026-02-11T20:15:16-05:00,other,no,queen;testing_quality,queen,,5,35,49,Bypass Queen cooldown for user-initiated calls
82,788539ee414eda168419f2f79d6fcf644e3f4aea,2026-02-11T20:20:04-05:00,fix,no,tasks;queen;drones;workers,tasks;workers,,2,51,12,Prevent coordination cycle from assigning tasks to busy workers
83,34401daf5262e8689ac640340f26d091a94d179c,2026-02-11T20:29:42-05:00,other,no,email;ui_ux,email;ui_ux,,1,19,11,Auto-draft email reply when approving completion proposals from sidebar
84,873d05b6f2c64a430707ba549ab53ec8b94c5249,2026-02-11T20:32:13-05:00,other,no,email;recovery;ui_ux,recovery,,2,38,4,Show Retry button in draft failure toast instead of hunting in done section
85,8aff4c3aea870e660e411cfebb5d94b8381212f5,2026-02-11T20:51:35-05:00,fix,no,drones;resources;testing_quality,drones;resources,,2,101,4,Fix drones not auto-approving psql queries and Read from uploads
86,66c224079846175116de950cdb29a73dd35df8de,2026-02-11T20:52:16-05:00,fix,no,security_auth;providers;testing_quality,testing_quality,,1,4,4,Fix line-too-long lint error in test_rules.py
87,401af610fb67782edc1c8a27b8b1fa0a389aaaa2,2026-02-11T20:53:33-05:00,other,no,drones;workers;ui_ux,,,1,4,2,Exempt HTMX partials and static assets from rate limiter
88,cd3490fa1824479fec96dc8196636a4a5262a25a,2026-02-11T22:55:08-05:00,other,no,tasks;queen;drones;recovery;settings;ui_ux;testing_quality,tasks;recovery;testing_quality,,8,170,14,"Code review fixes: path traversal, retry task_id, stale completions"
89,72380b2e6cfc43892dd606cad87be4dfabbbcb4e,2026-02-12T17:36:54-05:00,other,no,,,,1,141,82,DRY route handlers: extract @handle_swarm_errors decorator
90,bf3adea8a86ce9ab1ae742c2b574ed4ce6c468af,2026-02-12T17:42:38-05:00,other,no,tasks;worker_state;providers;testing_quality,,,3,372,215,Thin controllers: move business logic from app.py handlers to daemon
91,06410ec4712af9ab8dcb17818068c6acb9e5cd6e,2026-02-12T17:45:38-05:00,refactor,no,testing_quality,,,4,337,235,Extract ProposalManager from SwarmDaemon (SRP)
92,48e08300bc74f149e339765726f0a5638415e111,2026-02-12T17:53:40-05:00,refactor,no,queen;security_auth;providers;testing_quality,queen,,5,348,286,Extract QueenAnalyzer from SwarmDaemon (SRP)
93,efda6ca80acf9fd0ad31ca128050211096c8ceb0,2026-02-12T18:15:00-05:00,other,no,tasks;workers;settings;ui_ux;testing_quality,ui_ux;testing_quality,,5,303,213,CSS cleanup: replace 157 inline styles with semantic classes
94,772c5bb7918e2bd0defd2cdf6628e399d38b0340,2026-02-12T18:17:34-05:00,other,no,tasks;queen;drones;ui_ux;testing_quality,queen;drones,,16,963,93,"Expand DroneLog into SystemLog with categories, queen JSON parsing, proposal factories"
95,d2f710ae6d55287be39bade32f22d024f9694e9d,2026-02-12T18:20:55-05:00,fix,no,tasks;resources;settings;ui_ux,resources;ui_ux,,4,10,10,Fix modals visible on page load: .hidden specificity and duplicate class attrs
96,df65bce850a093059a137bd6a1024d435b72716b,2026-02-12T18:27:27-05:00,fix,no,tasks;settings;ui_ux,ui_ux,,4,21,22,Fix JS-managed elements broken by .hidden class vs CSS specificity
97,6fcfd555cd28f9985ac86d94ee5f8531cc68faa4,2026-02-12T20:52:22-05:00,other,no,drones;security_auth;settings;ui_ux,,,9,102,147,Phase 1: Type hints + narrow exception catches
98,66010c450a6b98b511e7b528ddaf6f04f949f7a3,2026-02-12T20:55:01-05:00,other,no,tasks,,,2,195,235,Phase 2: DRY Python helpers — reduce repeated patterns
99,8bbab6e9c33cbf38d02febe3fccd0f053976c5ad,2026-02-12T21:01:29-05:00,refactor,no,terminal;email;settings;testing_quality,email,,8,313,194,Extract EmailService from SwarmDaemon (SRP)
100,8dfb5a8fe5ff946dfdbe7bcd82b50df2f432948a,2026-02-12T21:06:07-05:00,refactor,no,tasks;testing_quality,tasks,,4,244,78,Extract TaskManager from SwarmDaemon (SRP)
101,ea2981e90409e2c3d14f2c543f0c050b8a0af102,2026-02-12T21:09:29-05:00,dry,no,tasks;ui_ux,tasks,,1,151,222,"DRY: Extract postAction/taskAction JS helpers, merge proposal approvers"
102,56b52d9c02763fb9b7c241a5a3c7348d596e779c,2026-02-12T21:14:58-05:00,other,no,tasks;workers;settings;ui_ux,ui_ux,,4,304,93,Inline CSS round 3: extract 25+ violations to semantic classes
103,602de03ee279cadf5d642d460fb84913d88172d7,2026-02-12T21:25:03-05:00,test,no,terminal;tasks;workers;deploy_release;testing_quality,terminal;testing_quality,,5,1485,0,"Test coverage expansion: 43% → 47%, 5 modules to 100%"
104,de54a28e36d3877c416b9f18d158291116834c94,2026-02-12T21:28:21-05:00,other,no,tasks;messaging;testing_quality,messaging;testing_quality,,3,77,14,Commit missed files from cleanup round 3: messages module and test fixes
105,7c41fc4977cc9b0823c21e2d7d28df163ad1164d,2026-02-12T21:39:19-05:00,fix,no,terminal;drones;testing_quality,terminal,,6,39,28,"Fix CI: include PaneGoneError/TmuxError in narrowed exceptions, fix mock targets"
106,9e25d20fb2ec76bbc64e3a6584c1bcaae558ef29,2026-02-13T06:46:46-05:00,other,no,tasks;drones;workers;email;settings;ui_ux;testing_quality,ui_ux;testing_quality,,20,4477,336,"Cleanup round 4: type safety, inline CSS, DRY, encapsulation, SRP, test coverage"
107,70b3fdcf9a6c63733c4be054cce917b144cd25c5,2026-02-13T08:35:47-05:00,other,no,terminal;tasks;queen;drones;security_auth;settings;ui_ux;testing_quality,testing_quality,,24,428,376,"Cleanup round 5: type safety, DRY, complexity, warnings"
108,1a8449088888da3500aaa56420fd035b56e8e885,2026-02-13T08:47:00-05:00,other,no,settings;ui_ux;testing_quality,ui_ux;testing_quality,,10,1097,30,"Cleanup round 5 cont: inline CSS extraction, test coverage 53% → 56%"
109,eabda91f891a7929f9bf85bf31340a1042e65c07,2026-02-13T09:47:04-05:00,fix,no,queen;drones;worker_state;workers;testing_quality,queen;drones,#34,5,154,13,fix: drone/queen auto-approval failures (#34)
110,1c6c72ac6176ebb0249507d9ac5a400c25d2ec98,2026-02-13T10:12:58-05:00,fix,no,settings;ui_ux;testing_quality,settings,#35,3,52,13,fix: merge duplicate class= attributes on config page inputs (#35)
111,43e778a2b642bf6f1d4026e435c481d10dcaa4c8,2026-02-13T10:35:04-05:00,fix,no,terminal;ui_ux;testing_quality,terminal,#36,4,40,0,fix: enable Ctrl-V paste in tmux swarm sessions (#36)
112,cb2be02b54752c87ee188d534ea87e3c1077dd04,2026-02-13T10:50:07-05:00,fix,no,terminal;ui_ux;testing_quality,terminal;ui_ux,#36,2,108,17,fix: restore Ctrl-V paste interception in web UI terminals (#36)
113,9a8f753608d6421927ba11772d49bdaf9445409d,2026-02-13T10:53:38-05:00,fix,no,ui_ux,,#36,1,19,14,fix: prefer text over image when clipboard has both (#36)
114,0e5b52d743e60aaf68f398e921dc17dcf2266dc0,2026-02-13T11:19:17-05:00,feat,no,terminal;settings;ui_ux;testing_quality,settings;ui_ux,#37,7,155,4,feat: add configurable tool buttons to dashboard (#37)
115,d3705fb186c7884f65ee245a2cc207ed13c2dbdd,2026-02-13T11:23:41-05:00,fix,no,security_auth;providers;ui_ux,,#37,1,1,1,fix: use single-quoted onclick for tool buttons to avoid HTML quote conflict (#37)
116,b75f133dfbdd1ee67eb9299ab69f078277ca7239,2026-02-13T13:07:08-05:00,fix,no,terminal;workers;testing_quality,terminal;workers,,4,75,19,fix: launch workers into existing tmux session instead of replacing it
117,6a6404fe5a7230ead4d6abd260c8106c4af8791b,2026-02-13T13:19:59-05:00,fix,no,drones;worker_state;workers;testing_quality,drones;worker_state;workers,,4,48,0,fix: prevent polling from overriding BUZZING state after revive
118,3b6f06ae26904b1b9f408d92a10d2c79482ec46a,2026-02-13T15:12:42-05:00,feat,no,tasks;queen;ui_ux;testing_quality,queen,,6,217,48,feat: add Queen Decision Log with persistent proposal history
119,552523ef86cabeb6b9786cda42e2cda2aaa1a657,2026-02-13T17:38:47-05:00,feat,no,queen;drones;settings;ui_ux;testing_quality,ui_ux;testing_quality,,9,591,151,"feat: kawaii UI polish — card cleanup, bee badges, animations, hover effects"
120,198ed31d3ad07cab48fefb8542e109fec738c71a,2026-02-13T17:45:59-05:00,feat,no,ui_ux,ui_ux,,1,66,28,"feat: CSS depth, animation & softness polish — shadows, glowing state dots, pill badges, rounder corners"
121,93ec2abed0a2d410e39ab7636b4dc69408f58258,2026-02-13T18:18:23-05:00,feat,no,tasks;workers;ui_ux,workers;ui_ux,,5,40,39,feat: restore selected worker on page navigation + bee icon polish
122,b7ae89944dfa6fe7f5bc5d6db0f14850ea91d153,2026-02-13T18:54:07-05:00,fix,no,mobile_pwa;security_auth;providers;ui_ux,mobile_pwa;ui_ux,,1,14,4,"fix: PWA manifest — name ""Swarm"" and happy bee icon"
123,45f1f7347b20b3b76ca8cf940166fcfa216b81f7,2026-02-13T19:26:30-05:00,feat,no,tasks;drones;workers;settings;ui_ux,tasks,,10,926,61,"feat: bring WUI feature parity to TUI — proposals, buzz log, task filtering, types, groups"
124,b494b67c7d1c5bb4037880077002c3f062206444,2026-02-13T20:29:00-05:00,fix,no,drones;worker_state;workers,worker_state;workers,,1,22,16,fix: reset adaptive backoff on worker state changes
125,1f30ec1da4cb361435e239aa975614348d0a4ba7,2026-02-13T20:38:33-05:00,fix,no,drones;settings;ui_ux,settings,,2,7,7,fix: replace ToggleButton with Checkbox for Textual 7.x compat
126,0fac28928d29793f09df9d9b0a8f0b331656e060,2026-02-13T21:10:24-05:00,chore,no,terminal;tasks;queen;drones;workers;settings;providers;ui_ux,,,32,39,3631,chore: remove Textual TUI and clean up all references
127,3168a398433ee1c1837a70f04203846711faf4d9,2026-02-13T21:27:43-05:00,fix,no,terminal;resources;testing_quality,resources,,1,66,25,fix: prevent zoom race condition on page refresh
128,515c3b8b0de6b69959fe5c7efcea1a1c61922921,2026-02-13T21:52:59-05:00,feat,no,terminal;queen;drones;worker_state;workers;settings;ui_ux;testing_quality,worker_state,,15,301,41,"feat: add SLEEPING state, human-readable durations, and state desync fix"
129,d7f40257b7baebf23a4ed1baa90e1282fae002a5,2026-02-13T22:41:41-05:00,feat,no,drones;workers;settings;deploy_release;ui_ux;testing_quality,drones;workers;deploy_release,,8,340,55,"feat: real-time worker updates with heartbeat, focus polling, and pilot watchdog"
130,33f5d27217590620b59c2a6573a1aeea63cddb42,2026-02-13T22:49:50-05:00,fix,no,tasks;drones,,,3,32,1,fix: faster pilot watchdog startup and done_callback diagnostics
131,628f279ce4e2c7299eb06fa104255318ed16c01d,2026-02-13T22:58:57-05:00,docs,no,tasks;providers,tasks;providers,,1,247,14,"docs: expand CLAUDE.md with design principles, quality gates, and workflows"
